,Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
0,Ssangyong,2022,Rexton,Sutherland Isuzu Ute,2022 Ssangyong Rexton Ultimate (awd),DEMO,Automatic,2.2,AWD,Diesel,8.7,5595,White / Black,"Caringbah, NSW",4,SUV,4,7,51990
1,MG,2022,MG3,Hatchback,2022 MG MG3 Auto Excite (with Navigation),USED,Automatic,1.5,Front,Premium,6.7,16,Black / Black,"Brookvale, NSW",4,Hatchback,5,5,19990
2,Honda,2014,Jazz,Hatchback,2014 Honda Jazz Hybrid,USED,Automatic,1.3,Front,Hybrid,4.5,38229,Blue / -,"Lidcombe, NSW",4,Hatchback,5,5,17900
3,Toyota,2018,HiAce,Commercial,2018 Toyota HiAce LWB,USED,Automatic,2.7,Rear,Unleaded,9.8,16324,White / Grey,"Lidcombe, NSW",4,Commercial,4,2,41999
4,Volkswagen,2012,Golf,Hatchback,2012 Volkswagen Golf 90 TSI Trendline,USED,Automatic,1.4,Front,Premium,6.2,55676,White / Black,"Five Dock, NSW",4,Hatchback,5,5,14999
5,Mitsubishi,2012,Outlander,SUV,2012 Mitsubishi Outlander LS (4X4),USED,Automatic,2.4,AWD,Unleaded,7.5,219681,Black / Black,"Blacktown, NSW",4,SUV,4,7,13999
6,Ford,2013,Fiesta,Hatchback,2013 Ford Fiesta Zetec,USED,Automatic,1.6,Front,Unleaded,6.1,98079,Blue / Black,"Blacktown, NSW",4,Hatchback,5,5,11999
7,Honda,2018,Jazz,Hatchback,2018 Honda Jazz VTI,USED,Automatic,1.5,Front,Unleaded,5.8,43274,Silver / Black,"Castle Hill, NSW",4,Hatchback,5,5,19900
8,Subaru,2012,Outback,SUV,2012 Subaru Outback 2.5I,USED,Automatic,2.5,AWD,Premium,8.4,105672,Black / -,"Glebe, NSW",4,SUV,4,5,17990
9,Mitsubishi,2018,Mirage,Hatchback,2018 Mitsubishi Mirage ES,USED,Automatic,1.2,Front,Unleaded,4.7,36836,Black / -,"Camden, NSW",3,Hatchback,5,5,14995
10,Toyota,2005,Camry,Sedan,2005 Toyota Camry Altise,USED,Automatic,2.4,Front,Unleaded,9.8,115821,Silver / Grey,"Lansvale, NSW",4,Sedan,4,5,8499
